event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,2024-03-24 08:41:00,,2024-03-24 08:41:00,2,,,true,1,32571,2024-03-24 08:43:00,false,AUTOMATIC,, 2,65,false,321A11MC24,false,LATE,22108001,65,32571,true,UP,UP,ARRIVAL,43013,
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:42:30,1,,,true,2,30044,2024-03-24 08:43:00,false,AUTOMATIC,, 1,23,false,302S60MD24,false,LATE,22350000,23,30044,true,DOWN,DOWN,ARRIVAL,30049,1
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,true,1,38302,2024-03-24 08:43:00,false,AUTOMATIC,, 3,64,false,402C10MD24,false,ON TIME,22306003,64,38302,true,UP,UP,ARRIVAL,38220,
DEPARTURE,,,2024-03-24 08:42:00,0,,,true,4,23221,2024-03-24 08:42:00,false,AUTOMATIC,,,55,false,191A91MB24,false,ON TIME,21750001,55,23221,true,UP,UP,DEPARTURE,23421,M
DEPARTURE,,,2024-03-24 08:43:30,1,,,false,3,00000,2024-03-24 08:42:00,false,AUTOMATIC,,,71,false,772G48MC24,false,EARLY,25429000,71,76398,true,UP,UP,DEPARTURE,76099,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:44:00,1,,,true,1,88231,2024-03-24 08:43:00,false,AUTOMATIC,, 2,88,false,882C12MC24,false,EARLY,24743000,88,88231,true,DOWN,DOWN,ARRIVAL,88236,
ARRIVAL,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,84,false,872G13MC24,false,LATE,24673505,84,87193,true,DOWN,DOWN,ARRIVAL,87074,
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:00,1,,,true,3,07416,2024-03-24 08:42:00,false,AUTOMATIC,, 2,60,false,062L30MC24,false,LATE,23563015,60,07416,true,UP,UP,DEPARTURE,07486,
DEPARTURE,,,2024-03-24 08:41:30,0,,,true,6,17112,2024-03-24 08:41:00,false,AUTOMATIC,, 1,20,false,171K09MD24,false,ON TIME,21733000,20,17112,true,DOWN,DOWN,DEPARTURE,16602,H
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,false,1,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 2,60,false,072M82MD24,false,EARLY,13562015,60,07589,true,DOWN,DOWN,DEPARTURE,07587,
