event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2024-03-24 01:13:00,,2024-03-24 01:13:00,1,,,true,8,87026,2024-03-24 01:12:00,false,AUTOMATIC,, 1,84,false,875A78M024,false,EARLY,24676004,84,87026,true,DOWN,DOWN,DEPARTURE,87028,C
ARRIVAL,2024-03-24 01:15:00,,2024-03-24 01:15:00,0,,,true,,87643,2024-03-24 01:15:00,false,AUTOMATIC,, 5,88,true,872U78M024,false,ON TIME,24782000,88,87643,true,DOWN,DOWN,DESTINATION,,
ARRIVAL,2024-03-24 01:10:00,,2024-03-24 01:10:00,4,,,true,1,50211,2024-03-24 01:14:00,false,AUTOMATIC,, 3,21,false,521F70M024,false,LATE,21939001,21,50211,true,DOWN,DOWN,ARRIVAL,50113,
ARRIVAL,2024-03-24 01:19:00,,2024-03-24 01:19:30,5,,,true,5,86066,2024-03-24 01:14:00,false,AUTOMATIC,, 4,84,false,865L861024,false,EARLY,24676004,84,86066,true,UP,UP,ARRIVAL,86065,
ARRIVAL,2024-03-24 01:04:00,,2024-03-24 01:04:00,10,,,true,1,87169,2024-03-24 01:14:00,false,AUTOMATIC,, 4,84,false,872F79M024,false,LATE,24673605,84,87169,true,DOWN,DOWN,ARRIVAL,87170,
DEPARTURE,,,2024-03-24 01:04:30,9,,,true,3,88103,2024-03-24 01:13:00,false,AUTOMATIC,, 2,88,false,875H961024,false,LATE,24788005,88,88103,true,UP,UP,DEPARTURE,87980,B
DEPARTURE,2024-03-24 01:03:00,,2024-03-24 01:03:00,10,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 2,88,false,879W18M923,false,LATE,22721000,88,63551,true,DOWN,DOWN,DEPARTURE,63547,S
ARRIVAL,2024-03-24 01:03:00,,2024-03-24 01:03:00,11,,,true,1,87131,2024-03-24 01:14:00,false,AUTOMATIC,, 5,84,false,872O79M024,false,LATE,24671505,84,87131,true,DOWN,DOWN,ARRIVAL,87134,
ARRIVAL,,,2024-03-24 01:09:00,5,,,true,1,87219,2024-03-24 01:14:00,false,AUTOMATIC,,,88,false,875T01M024,false,LATE,24788005,88,87219,true,,,ARRIVAL,87230,
DEPARTURE,2024-03-24 01:16:00,,2024-03-24 01:16:00,3,,,true,4,89011,2024-03-24 01:13:00,false,AUTOMATIC,, 1,88,false,895P95M124,false,EARLY,22788002,88,89011,true,UP,UP,DEPARTURE,89005,
